qz,qxy,intensity
1.96126,1.08929,73.608
1.96126,1.09821,75.081
1.96126,1.10714,72.967
1.96126,1.11607,71.44
1.96126,1.125,71.386
1.96126,1.13393,71.571
1.96126,1.14286,69.517
1.96126,1.15179,67.289
1.96126,1.16071,64.534
1.96126,1.16964,63.306
1.96126,1.17857,57.192
1.96126,1.1875,59.85
1.96126,1.19643,57.323
1.96126,1.20536,58.323
1.96126,1.21429,57.682
1.96126,1.22321,56.981
1.96126,1.23214,57.454
1.96126,1.24107,57.454
1.96126,1.25,57.454
1.96126,1.25893,57.454
1.96126,1.26786,57.91
1.96126,1.27679,57.91
1.96126,1.28571,57.91
1.96126,1.29464,57.91
1.96126,1.30357,57.91
1.96126,1.3125,57.91
1.96126,1.32143,57.91
1.96126,1.33036,57.91
1.96126,1.33929,57.91
1.96126,1.34821,57.91
1.96126,1.35714,57.91
1.96126,1.36607,57.91
1.96126,1.375,57.91
1.96126,1.38393,57.91
1.96126,1.39286,57.91
1.96126,1.40179,57.91
1.96126,1.41071,57.91
1.96126,1.41964,57.91
1.96126,1.42857,57.91
1.96126,1.4375,57.91
1.96126,1.44643,57.91
1.96126,1.45536,57.91
1.96126,1.46429,57.91
1.96126,1.47321,57.91
1.96126,1.48214,57.91
1.96126,1.49107,57.91
1.96126,1.5,57.91
1.96126,1.50893,57.91
1.96126,1.51786,57.91
1.95157,0,248.543
1.95157,0.00892857,164.178
1.95157,0.0178571,59.666
1.95157,0.0267857,57.187
1.95157,0.0357143,57.6
1.95157,0.0446429,57.6
1.95157,0.0535714,57.6
1.95157,0.0625,57.6
1.95157,0.0714286,57.6
1.95157,0.0803571,57.6
1.95157,0.0892857,57.6
1.95157,0.0982143,57.6
1.95157,0.107143,57.6
1.95157,0.116071,57.6
1.95157,0.125,57.6
1.95157,0.133929,57.6
1.95157,0.142857,57.6
1.95157,0.151786,57.6
1.95157,0.160714,57.6
1.95157,0.169643,57.6
1.95157,0.178571,57.6
1.95157,0.1875,57.6
1.95157,0.196429,57.6
1.95157,0.205357,57.6
1.95157,0.214286,57.6
1.95157,0.223214,57.6
1.95157,0.232143,57.6
1.95157,0.241071,57.6
1.95157,0.25,57.6
1.95157,0.258929,57.6
1.95157,0.267857,57.6
1.95157,0.276786,57.6
1.95157,0.285714,57.6
1.95157,0.294643,57.301
1.95157,0.303571,57.589
1.95157,0.3125,57.611
1.95157,0.321429,57.084
1.95157,0.330357,57.475
1.95157,0.339286,58.127
1.95157,0.348214,54.583
1.95157,0.357143,55.848
1.95157,0.366071,95.649
1.95157,0.375,104.247
1.95157,0.383929,105.193
1.95157,0.392857,103.813
1.95157,0.401786,100.454
1.95157,0.410714,98.796
1.95157,0.419643,97.128
1.95157,0.428571,96.59
1.95157,0.4375,96.579
1.95157,0.446429,95.704
1.95157,0.455357,96.59
1.95157,0.464286,94.416
1.95157,0.473214,91.014
1.95157,0.482143,89.726
1.95157,0.491071,90.313
1.95157,0.5,90.324
1.95157,0.508929,90.264
1.95157,0.517857,90.264
1.95157,0.526786,89.264
1.95157,0.535714,88.563
1.95157,0.544643,87.275
1.95157,0.553571,86.275
1.95157,0.5625,86.275
1.95157,0.571429,85.275
1.95157,0.580357,85.563
1.95157,0.589286,84.563
1.95157,0.598214,83.976
1.95157,0.607143,83.976
1.95157,0.616071,83.976
1.95157,0.625,83.688
1.95157,0.633929,83.688
1.95157,0.642857,83.161
1.95157,0.651786,82.933
1.95157,0.660714,83.933
1.95157,0.669643,83.634
1.95157,0.678571,83.52
1.95157,0.6875,83.705
1.95157,0.696429,84.004
1.95157,0.705357,84.417
1.95157,0.714286,83.83
1.95157,0.723214,84.901
1.95157,0.732143,85.015
1.95157,0.741071,85.613
1.95157,0.75,85.211
1.95157,0.758929,85.396
1.95157,0.767857,85.809
1.95157,0.776786,87.407
1.95157,0.785714,87.119
1.95157,0.794643,88.13
1.95157,0.803571,88.728
1.95157,0.8125,89.098
1.95157,0.821429,89.582
1.95157,0.830357,90.251
1.95157,0.839286,91.963
1.95157,0.848214,92.572
1.95157,0.857143,93.583
1.95157,0.866071,93.583
1.95157,0.875,93.594
1.95157,0.883929,92.029
1.95157,0.892857,93.339
1.95157,0.901786,93.812
1.95157,0.910714,92.203
1.95157,0.919643,93.192
1.95157,0.928571,92.377
1.95157,0.9375,90.986
1.95157,0.946429,92.008
1.95157,0.955357,92.503
1.95157,0.964286,91.525
1.95157,0.973214,90.422
1.95157,0.982143,89.319
1.95157,0.991071,88.743
1.95157,1,87.743
1.95157,1.00893,88.466
1.95157,1.01786,85.477
1.95157,1.02679,86.488
1.95157,1.03571,83.798
1.95157,1.04464,82.51
1.95157,1.05357,81.407
1.95157,1.0625,78.532
1.95157,1.07143,79.532
1.95157,1.08036,80.945
1.95157,1.08929,76.244
1.95157,1.09821,76.315
1.95157,1.10714,74.315
1.95157,1.11607,74.315
1.95157,1.125,74.016
1.95157,1.13393,70.902
1.95157,1.14286,67.902
1.95157,1.15179,68.56
1.95157,1.16071,70.919
1.95157,1.16964,68.278
1.95157,1.17857,65.164
1.95157,1.1875,63.637
1.95157,1.19643,62.942
1.95157,1.20536,58.942
1.95157,1.21429,58.828
1.95157,1.22321,58.828
1.95157,1.23214,57.6
1.95157,1.24107,58.187
1.95157,1.25,57.959
1.95157,1.25893,57.6
1.95157,1.26786,57.6
1.95157,1.27679,57.6
1.95157,1.28571,57.6
1.95157,1.29464,57.6
1.95157,1.30357,57.6
1.95157,1.3125,57.6
1.95157,1.32143,57.6
1.95157,1.33036,57.6
1.95157,1.33929,57.6
1.95157,1.34821,57.6
1.95157,1.35714,57.6
1.95157,1.36607,57.6
1.95157,1.375,57.6
1.95157,1.38393,57.6
1.95157,1.39286,57.6
1.95157,1.40179,57.6
1.95157,1.41071,57.6
1.95157,1.41964,57.6
1.95157,1.42857,57.6
1.95157,1.4375,57.6
1.95157,1.44643,57.6
1.95157,1.45536,57.6
1.95157,1.46429,57.6
1.95157,1.47321,57.6
1.95157,1.48214,57.6
1.95157,1.49107,57.6
1.95157,1.5,57.6
1.95157,1.50893,57.6
1.95157,1.51786,57.6
1.94189,0,113.325
1.94189,0.00892857,80.433
1.94189,0.0178571,56.557
1.94189,0.0267857,57.155
1.94189,0.0357143,57.628
1.94189,0.0446429,57.628
1.94189,0.0535714,57.628
1.94189,0.0625,57.628
